province_code,province,less_nutrition_intake,insufficient_maternal_nutritional_during_pregnancy,lack_of_sanitation,children_often_suffer_from_illness,poverty,hereditary_disease,weighted_n
11,Aceh,89.4,55.5,40.0,25.9,27.3,44.6,3085
12,Sumatera Utara,93.2,56.2,40.1,28.6,31.5,32.0,6743
13,Sumatera Barat,89.3,55.0,37.3,24.9,26.3,32.9,3219
14,Riau,92.7,57.4,37.6,25.6,27.5,34.9,3031
15,Jambi,94.7,66.9,52.5,39.3,37.2,51.1,2028
16,Sumatera Selatan,92.5,51.9,32.8,20.4,22.6,24.7,3203
17,Bengkulu,93.6,59.0,44.3,27.6,28.9,29.8,1079
18,Lampung,88.2,49.5,32.8,20.5,22.0,31.2,4539
19,Kep. Bangka Belitung,89.7,60.5,45.0,26.2,28.1,37.7,981
21,Kepulauan Riau,86.5,54.2,29.0,18.4,20.3,24.7,922
31,DKI Jakarta,86.7,51.7,25.0,14.9,20.4,18.2,5758
32,Jawa Barat,81.8,39.9,24.6,13.0,15.1,18.7,25632
33,Jawa Tengah,83.5,40.7,20.0,12.7,11.8,19.6,27788
34,DI Yogyakarta,86.6,45.5,16.9,11.1,11.9,18.5,3821
35,Jawa Timur,87.6,46.6,23.7,17.3,16.9,22.2,22192
36,Banten,86.4,44.9,28.7,16.2,18.3,24.6,4880
51,Bali,91.4,55.2,31.1,24.3,21.8,30.7,2597
52,Nusa Tenggara Barat,85.1,41.0,24.3,15.0,14.1,29.5,2979
53,Nusa Tenggara Timur,87.1,44.6,31.9,19.4,21.2,36.1,4710
61,Kalimantan Barat,93.3,55.4,34.2,26.6,24.5,29.1,3053
62,Kalimantan Tengah,90.8,56.1,43.2,32.5,35.2,36.1,1336
63,Kalimantan Selatan,90.2,48.3,28.8,19.4,22.1,28.2,2436
64,Kalimantan Timur,86.4,51.6,33.4,21.9,21.9,32.2,2397
65,Kalimantan Utara,92.9,62.5,43.4,30.7,25.4,38.9,397
71,Sulawesi Utara,91.4,56.6,36.1,24.0,21.9,32.6,1513
72,Sulawesi Tengah,80.5,37.3,24.5,13.4,14.8,24.1,1951
73,Sulawesi Selatan,84.4,42.2,28.7,17.5,15.9,27.4,5064
74,Sulawesi Tenggara,87.8,48.5,29.2,23.3,20.4,26.6,1365
75,Gorontalo,85.0,46.6,33.2,20.5,17.2,31.2,571
76,Sulawesi Barat,83.2,40.7,26.7,16.8,14.7,23.5,777
82,Maluku,84.1,47.2,33.1,23.1,18.3,32.4,941
81,Maluku Utara,83.9,55.3,43.9,34.5,27.3,39.1,438
92,Papua Barat,95.3,66.0,54.2,43.8,41.2,45.5,209
96,Papua Barat Daya,84.6,49.1,32.9,17.6,19.8,21.0,281
91,Papua,93.1,69.4,42.8,35.6,37.4,35.0,407
93,Papua Selatan,91.5,52.7,37.4,23.2,39.5,43.8,114
94,Papua Tengah,87.1,81.1,83.1,47.8,42.3,42.2,418
95,Papua Pegunungan,93.4,67.7,59.3,64.2,59.7,45.2,213
0,INDONESIA,86.5,46.6,27.9,18.1,18.6,25.1,153068
